"区分","市町村別入学状況（本科）_入学定員_計","市町村別入学状況（本科）_入学定員_全日制","市町村別入学状況（本科）_入学定員_全日制_うち公立","市町村別入学状況（本科）_入学定員_定時制","市町村別入学状況（本科）_入学志願者_計_計","市町村別入学状況（本科）_入学志願者_計_男","市町村別入学状況（本科）_入学志願者_計_女","市町村別入学状況（本科）_入学志願者_全日制","市町村別入学状況（本科）_入学志願者_全日制_うち公立","市町村別入学状況（本科）_入学志願者_定時制","市町村別入学状況（本科）_入学者_計_計","市町村別入学状況（本科）_入学者_計_男","市町村別入学状況（本科）_入学者_計_女","市町村別入学状況（本科）（つづき）_入学者（つづき）_全日制","市町村別入学状況（本科）（つづき）_入学者（つづき）_全日制_うち公立","市町村別入学状況（本科）（つづき）_入学者（つづき）_定時制","市町村別入学状況（本科）（つづき）_入学者のうち他県の中学校卒業者・中等教育学校修了者（再掲）_計_計","市町村別入学状況（本科）（つづき）_入学者のうち他県の中学校卒業者・中等教育学校修了者（再掲）_計_男","市町村別入学状況（本科）（つづき）_入学者のうち他県の中学校卒業者・中等教育学校修了者（再掲）_計_女","市町村別入学状況（本科）（つづき）__入学者のうち他県の中学校卒業者・中等教育学校修了者（再掲）_全日制","市町村別入学状況（本科）（つづき）_入学者のうち他県の中学校卒業者・中等教育学校修了者（再掲）_全日制_うち公立","市町村別入学状況（本科）（つづき）_入学者のうち他県の中学校卒業者・中等教育学校修了者（再掲）_定時制","市町村別入学状況（本科）（つづき）_入学者のうち過年度中学校卒業者等（再掲）_計_計","市町村別入学状況（本科）（つづき）_入学者のうち過年度中学校卒業者等（再掲）_計_男","市町村別入学状況（本科）（つづき）_入学者のうち過年度中学校卒業者等（再掲）_計_女","市町村別入学状況（本科）（つづき）_入学者のうち過年度中学校卒業者等（再掲）_全日制","市町村別入学状況（本科）（つづき）_入学者のうち過年度中学校卒業者等（再掲）_全日制_うち公立","市町村別入学状況（本科）（つづき）_入学者のうち過年度中学校卒業者等（再掲）_定時制"
"日高町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"由良町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"印南町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"みなべ町","240.0","240.0","240.0","0.0","245.0","103.0","142.0","245.0","245.0","0.0","239.0","97.0","142.0","239.0","239.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高川町","40.0","40.0","40.0","0.0","29.0","27.0","2.0","29.0","29.0","0.0","29.0","27.0","2.0","29.0","29.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"白浜町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"上富田町","200.0","200.0","200.0","0.0","200.0","61.0","139.0","200.0","200.0","0.0","196.0","60.0","136.0","196.0","196.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"すさみ町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"那智勝浦町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"太地町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"北山村","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"串本町","160.0","160.0","160.0","0.0","142.0","67.0","75.0","142.0","142.0","0.0","142.0","67.0","75.0","142.0","142.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
